sh603256 宏和科技
sz002384 东山精密
sz300946 本川智能
sz001359 平安电工
sz300395 菲利华
sh601869 长飞光纤
sh600186 莲花控股
sz300408 三环集团
sh600522 中天科技
sh600330 天通股份
sh605006 山东玻纤
sz300308 中际旭创
sz300620 光库科技
sz300502 新易盛
sh603993 洛阳钼业
sz300671 富满微
sz002837 英维克
sh600584 长电科技
sz301526 国际复材
sh601138 工业富联
sh600176 中国巨石
sz002378 章源钨业
sz002463 沪电股份
sh600183 生益科技
sz300394 天孚通信
sz000636 风华高科
sh603629 利通电子
sz301317 鑫磊股份
sz002185 华天科技
sh600580 卧龙电驱
sh600105 永鼎股份
sh600206 有研新材
sz000100 TCL科技
sz002281 光迅科技
sh603127 昭衍新药
sh603678 火炬电子
sz300476 胜宏科技
sz300816 艾可蓝
sz002080 中材科技
sh603228 景旺电子
